State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,3,2812,3750,3281,28-Nov-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,4,2550,5300,3925,21-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,4.8,2560,5350,3955,20-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,6,3125,5312,4218,17-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,8,2500,6250,4375,16-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,8,4375,5625,5000,13-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,8,5000,5600,5300,12-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,11.2,4370,6200,5285,10-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,16,4375,6250,5312.5,9-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,32,0,0,5300,11-Nov-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,38.4,2500,5312,3906,18-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,48,4375,5625,5000,29-Nov-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,70,3150,6875,5012,4-Dec-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,73.6,3125,6875,5000,3-Dec-24,Small
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,75.2,3750,5937,4843,26-Nov-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,80,3125,5625,4375,27-Nov-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,88,3125,5000,4062,25-Nov-24,Large
Jammu and Kashmir,Baramulla,Kanispora Baramulla (F&V),American,Fruits,100,3125,5000,4062,6-Dec-24,Large
